reference,nom_csv,nom_site
HX_ANI2122724,Désinfectant par voie aérienne Aseptanios AD 2 l,Désinfectant par voie aérienne Aseptanios...
HX_ANI2478764,Mousse détergente désinfectante Surfa’safe’R Premium,Mousse détergente désinfectante...
HX_ANI2633097FG,Nettoyant et désinfectant Aniosyme X3 - Doses de 25 ml,Nettoyant et désinfectant Aniosyme X3 -...
HX_ANI1644679FG,Gel désinfectant pour friction hydroalcoolique Aniosgel 85 NPC Airless,Gel désinfectant pour friction...
HX_ANI2122795UG,Désinfectant par voie aérienne Aseptanios AD 5 l avec canule,Désinfectant par voie aérienne Aseptanios...
HX_ANIECL3118270,Lotion hydratante et nourrissante pour les mains Silonda Sensitive,Lotion hydratante et nourrissante pour les...
HX_ANIECL3110750,Lotion hydratante et nourrissante pour les mains Silonda Sensitive,Lotion hydratante et nourrissante pour les...
HX_ANI26330366C,Nettoyant et désinfectant Aniosyme X3 - 5 litres,Nettoyant et désinfectant Aniosyme X3 - 5...
HX_ANI26330956C,Nettoyant et désinfectant Aniosyme X3 - 1 litre,Nettoyant et désinfectant Aniosyme X3 - 1...
HX_ANIPACKDSVAVAPEUR,Pack DSVA et VAPEUR,Pack DSVA et VAPEUR MINI
HX_ANI2201515UG,Nettoyant surfaces sanitaires Anios SPS Premium,Nettoyant surfaces sanitaires Anios SPS...
HX_ANI425220,Distributeur savon ABS à fermeture à clé Anios,Distributeur savon ABS à fermeture à clé...
HX_ANI25040285,Désinfectant de haut niveau Opaster'anios 5 litres,Désinfectant de haut niveau Opaster'anios...
HX_ANI2131732,Détergent désinfectant sol et surfaces Oxy'Floor Anios,Détergent désinfectant sol et surfaces...
HX_ANI2994523,Lotion lavante antimicrobienne - Skinsan 1L + pompe,Lotion lavante antimicrobienne - Skinsan...
HX_ANI2994144UK,Lotion lavante antimicrobienne Skinsan 2% 1 litre Airless,Lotion lavante antimicrobienne Skinsan 2%...
HX_ANI432176,Filtre anti-légionelle pour douches et bains Filtranios 31 LPS +,Filtre anti-légionelle pour douches et...
HX_ANI2994522UH,Lotion lavante antimicrobienne  Skinsan 2% 500 ml,Lotion lavante antimicrobienne  Skinsan 2%...
HX_ASE251008,Gel de transmission ultrasonique Unigel - Bleu - Cubitainer 5 l,Gel de transmission ultrasonique Unigel -...
HX_ASE251003,Gel de transmission ultrasonique Unigel - Transparent - Flacon 250 ml,Gel de transmission ultrasonique Unigel -...
HX_ASE251004,Gel de transmission ultrasonique Unigel - Bleu - Flacon 250 ml,Gel de transmission ultrasonique Unigel -...
HX_ASE251009,Gel de transmission ultrasonique Unigel - Transparent - Cubitainer 5 l,Gel de transmission ultrasonique Unigel -...
HX_ASE251006,Spray conducteur E.C.G. Uni'Gel Neojelly 240 ml,Spray conducteur E.C.G. Uni'Gel Neojelly...
HX_BED101NT2460X40BL,Taie d'oreiller respirante Dermofresh 60 x 40 cm,Taie d'oreiller respirante Dermofresh 60 x...
HX_BEDH12NT4709020001,Housse intégrale de matelas Dermofresh 90x200x15 cm Anti-acariens et punaises de lit,Housse intégrale de matelas Dermofresh...
HX_BED171NT9006009001,Alèse imperméable et lavable avec rabats Salvalit,Alèse imperméable et lavable avec rabats...
HX_BEDBLENIS140X200BLANC01,Protège matelas imperméable et respirant B-Lenis,Protège matelas imperméable et respirant...
HX_BEDBLENIS90X200BLANC01,Protège matelas imperméable et respirant B-Lenis,Protège matelas imperméable et respirant...
HX_BD405256,Aiguille spinale BD Yale 90 mm,Aiguilles spinales BD Yale™ - 22 G -...
HX_BD300600,"Aiguille hypodermique BD Microlance Orange 25 G - L.16 mm  x 0,5 mm - Boîte de 100",Aiguille hypodermique BD Microlance...
HX_BD304432,"Aiguille hypodermique BD Microlance  Verte 21 G - L. 40 mm  x 0,80 mm - Boîte de 100",Aiguille hypodermique BD Microlance...
HX_BD300800,"Aiguille hypodermique BD Microlance  Bleu 23 G - L. 25 mm  x 0,60mm - Boîte de 100",Aiguille hypodermique BD Microlance  Bleu...
HX_BD301156,"Aiguille hypodermique BD Microlance  Verte 21 G - L. 25 mm x  0,80 mm - Boîte de 100",Aiguille hypodermique BD Microlance...
HX_BD304000,"Aiguille hypodermique BD Microlance Jaune - 30G - L. 13 mm x 0,30 mm - Boîte de 100",Aiguille hypodermique BD Microlance Jaune...
HX_BD301155,"Aiguille hypodermique BD Microlance  verte 21G - L.50 mm x 0,80 mm - Boîte de 100",Aiguille hypodermique BD Microlance...
HX_BD307727,Seringue 3 pieces Emerald 2 ml cone centré boîte de 100,Seringue 3 pieces Emerald 2 ml cone centré...
HX_BD300613,Seringue Plastipak 20 ml cone centré,Seringue Plastipak 20 ml - Cône excentré
HX_BD300400,"Aiguille hypodermique BD Microlance Orange 25 G - L. 25 mm x 0,50 mm - Boîte de 100",Aiguille hypodermique BD Microlance...
HX_BD381223,Catheter Insyte 22 G 25 mm bleu,Catheter Insyte Standard 22 G 25 mm bleu
HX_BD20350E0006,"Ensemble d'extension SmartSite filtre de 0,2 micron pince de serrage x100",Ensemble d'extension SmartSite filtre de...
HX_BD303172,Seringue BD Plastipak™ 3 pièces tuberculine 1 ml,Seringue BD Plastipak™ 3 pièces...
HX_BD367246,Unité de prélèvement à ailettes sécurité BD SAFETY-LOK,Unité de prélèvement à ailettes sécurité...
HX_BDPA150G,Prolongateur de tubulure haute pression 40 bar,Prolongateur de tubulure haute pression 40...
HX_BD381923,Cathéter de sécurité BD Insyte Autoguard 22G1,Cathéter de sécurité BD Insyte Autoguard...
HX_BD383329,Cathéter de sécurité BD Saf-T-Intima™ en Y 22G,Cathéter de sécurité BD Saf-T-Intima™ en Y...
HX_BD305771,Aiguille de sécurité pour injection BD Eclipse™ 30 G,Aiguille de sécurité pour injection BD...
HX_BD405252,Aiguille spinale BD Yale™ 20 G,Aiguilles spinales BD Yale™ - 20 G -...
HX_BD405253,Aiguille spinale BD Yale™ 20 G,Aiguilles spinales BD Yale™ - 20 G -...
HX_BD405257,Aiguille spinale BD Yale™ 25G,Aiguilles spinales BD Yale™ - 25 G-...
HX_BD301231,Seringue 3 pièces 30 ml Luer Simple Plastipak™,Seringue 3 pièces 30 ml Luer Simple...
HX_BD381834,Catheter sécurisé BD INSYTE 1.1 x 30 mm Rose Autoguard,Catheter sécurisé BD INSYTE 1.1 x 30 mm...
HX_BD381912,Catheter sécurisé BD INSYTE 0.7 x 19 mm Jaune Autoguard Ailette,Catheter sécurisé BD INSYTE 0.7 x 19 mm...
HX_BD381934,Catheter BD INSYTE 1.1X32mm Rose Autoguard Ailette,Catheter BD INSYTE 1.1X32mm Rose Autoguard...
HX_BDTP,Bouchon TP,Bouchon Luer Lock mâle/femelle TP-MF
HX_BD383667,Cathéter d'accès veineux périphérique sécurisé et clos BD Nexiva™ 20G avec robinet,Cathéter d'accès veineux périphérique...
HX_BDMZ1000,Valve bidirectionnelle à pression positive MaxZero™,Valve bidirectionnelle à pression positive...
HX_BD309628,Seringue de précision BD Plastipak™ 3 pièces 1 ml luer lock,Seringue de précision BD Plastipak™ 3...
HX_BD383319,"Cathéter BD Saf-T Intima En Y - 24 G - Ø Ext. 0,7 mm - L 19 mm - Jaune",Cathéter BD Saf-T Intima En Y - 24 G - Ø...
HX_BD305895,Aiguille de sécurité pour injection BD Eclipse™ 21G,Aiguille de sécurité pour injection BD...
HX_BD300635,"Aiguille hypodermique BD Microlance 3 D Gris 27 - G L. 13 mm x 0,40 mm - Boîte de 100",Aiguille hypodermique BD Microlance 3 D...
HX_BD383328,Cathéter BD SAF-T Intima droit 22 G3/4 sans dehphp,Cathéter BD SAF-T Intima droit 22 G3/4...
HX_BD309050,Seringues 2 pièces 5 ml  Discardit II BD boîte de 100,Seringues 2 pièces 5 ml  Discardit II BD...
HX_BD309110,Seringues 2 pièces 10 ml  Discardit II,Seringue Discardit II BD 10 cc. Embout...
HX_BD329608,Aiguille de sécurité maximale BD Autoshield™ Duo,Aiguille de sécurité maximale BD...
HX_BD383318,Microperfuseur de sécurité droit 24G,Cathéter sécurisé BD Saf-T Intima™ 1 voie...
HX_BD383339,Microperfuseur de sécurité Y 20G rose,Cathéter sécurisé BD Saf-T Intima™ 2 voies...
HX_BD329605,Aiguilles à stylo sécurisées avec double protection BD Autoshield™,Aiguilles sécurisées pour stylo avec...
HX_BD303273,Aiguille Hypodermique BD Microlance Bleu 23 G - L. 40 mm x 0.6 mm - Boîte de 100,Aiguille Hypodermique BD Microlance Bleu...
HX_BD300637,Aiguille hypodermique Microlance 3 BD blanc 16 G L. 40 mm,Aiguille hypodermique Microlance 3 BD...
HX_BD382933,"Cathéter BD Insyte Autoguard Blood Control 20G rose Ø Ext. 1,7 mm - L 25 mm",Cathéter BD Insyte Autoguard Blood Control...
HX_BD360211,Aiguilles conventionnelles  BD Vacutainer® PrecisionGlide™,Aiguilles conventionnelles BD Vacutainer®...
HX_BD300866,Seringue BD Plastipak 3 pièces 50 ml Embout lueur excentré.,Seringue BD Plastipak 3 pièces 50 ml...
HX_BD394926,Robinet BD Connecta 3 voies,Robinet BD™ Connecta™ 3 voies Avec...
HX_BD381812,Catheter Insyte 24 G 19 mm Jaune Sans Ailettes,Catheter Insyte 24 G 19 mm Jaune Sans...
HX_BD381823,Catheter Insyte 22 G 25 mm Bleu Sans Ailettes,Catheter Insyte Sécurisé 22 G 25 mm Bleu...
HX_BD303175,"Seringue BD Plastipak 3 Pièces Tuberculine 1ML Prémontée  avec aiguille BD Microlance 25 G - L. 16 mm x 0,50 mm - Boîte de 120",Seringue BD Plastipak™ avec aiguille BD...
HX_BEN8502117T2,Grenouillere Mixte manches et jambres longues raye marine - Taille 2,Grenouillere Mixte manches et jambres...
HX_BEN8502117T1,Grenouillere Mixte manches et jambes longues raye marine - Taille 1,Grenouillere Mixte manches et jambes...
HX_BEN8502117T5,Grenouillere Mixte manches et jambres longues raye marine - Taille 5,Grenouillere Mixte manches et jambres...
HX_BEN8502118T3,Grenouillere Mixte manches et jambes longues liberty parme - Taille 3,Grenouillere Mixte manches et jambes...
HX_BEN8502118T2,Grenouillere Mixte manches et jambes longues liberty parme - Taille 2,Grenouillere Mixte manches et jambes...
HX_BEN8502118T4,Grenouillere Mixte manches et jambes longues liberty parme - Taille 4,Grenouillere Mixte manches et jambes...
HX_BEN8502118T1,Grenouillere Mixte manches et jambes longues liberty parme - Taille 1,Grenouillere Mixte manches et jambes...
HX_BEN8502117T6,Grenouillere Mixte manches et jambres longues raye marine - Taille 6,Grenouillere Mixte manches et jambres...
HX_BEN8503117T2,Grenouillere Mixte manches et jambes courtes raye marine - Taille 2,Grenouillere Mixte manches et jambes...
HX_BEN8502117T4,Grenouillere Mixte manches et jambres longues raye marine - Taille 4,Grenouillere Mixte manches et jambres...
HX_BEN8502117T3,Grenouillere Mixte manches et jambres longues raye marine - Taille 3,Grenouillere Mixte manches et jambres...
HX_BEN8503117T4,Grenouillere Mixte manches et jambes courtes raye marine - Taille 4,Grenouillere Mixte manches et jambes...
HX_BEN8503117T3,Grenouillere Mixte manches et jambes courtes raye marine - Taille 3,Grenouillere Mixte manches et jambes...
HX_BEN8503117T1,Grenouillere Mixte manches et jambes courtes raye marine - Taille 1,Grenouillere Mixte manches et jambes...
HX_BEN8502118T6,Grenouillere Mixte manches et jambes longues liberty parme - Taille 6,Grenouillere Mixte manches et jambes...
HX_BEN8502118T5,Grenouillere Mixte manches et jambes longues liberty parme - Taille 5,Grenouillere Mixte manches et jambes...
HX_BEN8503118T6,Grenouillere Mixte manches et jambes coutes liberty parme - Taille 6,Grenouillere Mixte manches et jambes...
HX_BEN8503118T5,Grenouillere Mixte manches et jambes coutes liberty parme - Taille 5,Grenouillere Mixte manches et jambes...
HX_BEN8503118T4,Grenouillere Mixte manches et jambes courtes liberty parme - Taille 4,Grenouillere Mixte manches et jambes...
HX_BEN8503118T3,Grenouillere Mixte manches et jambes courtes liberty parme - Taille 3,Grenouillere Mixte manches et jambes...
HX_BEN8503118T2,Grenouillere Mixte manches et jambes courtes liberty parme - Taille 2,Grenouillere Mixte manches et jambes...
HX_BEN8503118T1,Grenouillere Mixte manches et jambes courtes liberty parme - Taille 1,Grenouillere Mixte manches et jambes...
HX_BEN8503117T6,Grenouillere Mixte manches et jambes courtes raye marine - Taille 6,Grenouillere Mixte manches et jambes...
HX_BEN8503117T5,Grenouillere Mixte manches et jambes courtes raye marine - Taille 5,Grenouillere Mixte manches et jambes...
HX_BEN85041405,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 5,Grenouillère Manches Longues en Interlock...
HX_BEN85041404,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 4,Grenouillère Manches Longues en Interlock...
HX_BEN85041403,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 3,Grenouillère Manches Longues en Interlock...
HX_BEN8530,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 1,Grenouillère Manches Longues en Jersey...
HX_BEN85041402,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 2,Grenouillère Manches Longues en Interlock...
HX_BEN85040203,Grenouillère Manches Longues en Interlock Marine - Taille 3,Grenouillère Manches Longues en Interlock...
HX_BEN85040202,Grenouillère Manches Longues en Interlock Marine - Taille 2,Grenouillère Manches Longues en Interlock...
HX_BEN85040204,Grenouillère Manches Longues en Interlock Marine - Taille 4,Grenouillère Manches Longues en Interlock...
HX_BEN85041406,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 6,Grenouillère Manches Longues en Interlock...
HX_BEN85050205,Grenouillère Manches Courtes en Interlock Marine - Taille 5,Grenouillère Manches Courtes en Interlock...
HX_BEN85050204,Grenouillère Manches Courtes en Interlock Marine - Taille 4,Grenouillère Manches Courtes en Interlock...
HX_BEN85050203,Grenouillère Manches Courtes en Interlock Marine - Taille 3,Grenouillère Manches Courtes en Interlock...
HX_BEN85050202,Grenouillère Manches Courtes en Interlock Marine - Taille 2,Grenouillère Manches Courtes en Interlock...
HX_BEN85040206,Grenouillère Manches Longues en Interlock Marine - Taille 6,Grenouillère Manches Longues en Interlock...
HX_BEN85040205,Grenouillère Manches Longues en Interlock Marine - Taille 5,Grenouillère Manches Longues en Interlock...
HX_BEN85042205,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 5,Grenouillère Manches Longues en Interlock...
HX_BEN85042204,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 4,Grenouillère Manches Longues en Interlock...
HX_BEN85042203,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 3,Grenouillère Manches Longues en Interlock...
HX_BEN85042202,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 2,Grenouillère Manches Longues en Interlock...
HX_BEN853102,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 2,Grenouillère Manches Courtes en Jersey...
HX_BEN853105,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 5,Grenouillère Manches Courtes en Jersey...
HX_BEN853104,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 4,Grenouillère Manches Courtes en Jersey...
HX_BEN853103,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 3,Grenouillère Manches Courtes en Jersey...
HX_BEN853003,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 3,Grenouillère Manches Longues en Jersey...
HX_BEN853006,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 6,Grenouillère Manches Longues en Jersey...
HX_BEN853004,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 4,Grenouillère Manches Longues en Jersey...
HX_BEN853005,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 5,Grenouillère Manches Longues en Jersey...
HX_BEN85042206,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 6,Grenouillère Manches Longues en Interlock...
HX_BEN85051406,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 6,Grenouillère Manches Courtes en Interlock...
HX_BEN85051405,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 5,Grenouillère Manches Courtes en Interlock...
HX_BEN85051404,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 4,Grenouillère Manches Courtes en Interlock...
HX_BEN85051403,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 3,Grenouillère Manches Courtes en Interlock...
HX_BEN85051402,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 2,Grenouillère Manches Courtes en Interlock...
HX_BEN85050206,Grenouillère Manches Courtes en Interlock Marine - Taille 6,Grenouillère Manches Courtes en Interlock...
HX_BEN853106,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 6,Grenouillère Manches Courtes en Jersey...
HX_BEN853002,Grenouillère Manches Longues en Jersey Bleu Ciel - Taille 2,Grenouillère Manches Longues en Jersey...
HX_BEN8470316,Foulard bavoir coton imprimé étoile bordeaux TU,Foulard bavoir coton imprimé étoile...
HX_BEN850502,Grenouillère Manches Courtes en Interlock Marine - Taille 1,Grenouillère Manches Courtes en Interlock...
HX_BEN850422,Grenouillère Manches Longues en Interlock Bois de Rose - Taille 1,Grenouillère Manches Longues en Interlock...
HX_BEN85040201,Grenouillère Manches Longues en Interlock Marine - Taille 1,Grenouillère Manches Longues en Interlock...
HX_BEN8531,Grenouillère Manches Courtes en Jersey Bleu Ciel - Taille 1,Grenouillère Manches Courtes en Jersey...
HX_BEN850414,Grenouillère Manches Longues en Interlock Gris Chiné - Taille 1,Grenouillère Manches Longues en Interlock...
HX_BEN850514,Grenouillère Manches Courtes en Interlock Gris Chiné - Taille 1,Grenouillère Manches Courtes en Interlock...
HX_COL334850,Pansement Biatain Adhesive Sacrum 23 x 23 cm,Attelles de doigt alu / mousse - type...
HX_COM4500251,"Suite fiche médicale Stern-Org, grand modèle",Fiche médicale Stern-Org Suites de fiches...
HX_COM1620026,Cuvette Haricots Fibre à usage unique (Carton de 320),Cuvette Haricots Fibre à usage unique...
HX_COM2470025A,"Spéculum auriculaire à usage unique 2,5 mm - Gris","Spéculum auriculaire à usage unique 2,5 mm..."
HX_COM2470040A,Spéculum auriculaire à usage unique 4 mm - Gris,Spéculum auriculaire à usage unique 4 mm -...
HX_COM4500261,Suite fiche médicale Stern-Org petit modèle,Fiche médicale Stern-Org Suites de fiches...
HX_COM3282010,Echelle de Parinaud pour enfants ou personnes illettrées,Echelle de Parinaud pour enfants ou...
HX_COM4542002B,Pied à sérum base plastique - Crochets plastique,Pied à sérum base plastique - Crochets...
HX_COM2910242,Ciseaux universels de Jesco Jaune,Ciseaux universels de Jesco 17 cm Jaune....
HX_COM3342503,Attelles de doigt alu / mousse - type Grenouille. Grand.,Attelles de doigt alu / mousse - type...
HX_COM3342502,Attelles de doigt alu / mousse - type Grenouille. Moyen,Attelles de doigt alu / mousse - type...
HX_COM3342501,Attelles de doigt alu / mousse - type Grenouille. Petit.,Attelles de doigt alu / mousse - type...
HX_COM2470025C,"Speculum auriculaire couleur 2,5 mm",Spéculums auriculaires
HX_COM4940002B,Doigtiers 2 doigts et gant emballés individuellement,Doigtiers 2 doigts et gant emballés...
HX_COM2912502,Rasoir jetable 2 lames boite de 100,Rasoir jetable Rasoirs 2 lames.
HX_COM2510600,Abaisse-langue enfant à usage unique -  La boîte de 250,Abaisse-langue enfant à usage unique -  La...
HX_COM1620052,Broyeur de comprimés ergonomique,Urinal gradué pour homme sans bouchon
HX_COM4290040,Garrot Clip adulte rouge ouverture rapide et desserage progressif - unité,Garrot Clip adulte rouge ouverture rapide...
HX_COM1643451,Crachoir à usage unique - Le sachet de 500 pièces.,Crachoir à usage unique - Le sachet de 500...
HX_COM4290047,Garrot Clip adulte vert ouverture rapide et desserage progressif - unité,Garrot Clip adulte vert ouverture rapide...
HX_DEVIGOB0429,Pince Halstead courbe S/G 13 cm,Pince Halstead courbe Sans Griffes 13 cm
HX_DEVIGOB0430,Pince Halstead droite A/G 13 cm,Pince Halstead droite à griffes 13 cm
HX_DUPSA1203005,Cadre de marche Miami - Pliable - Drive Devilbiss Healthcare,Cadre de marche Miami - Pliable - Drive...
HX_FRABRA015,Couvre sonde pour thermomètre auriculaire Braun,Couvre sonde pour thermomètre auriculaire...
HX_CADGN18M,Gants d'examen nitrile non poudrés noir - M - 7/8 - Boîte de 100,Gants d'examen nitrile non poudrés noir -...
HX_CADGN18L,Gants d'examen nitrile non poudrés noir - L - 8/9 - Boîte de 100,Gants d'examen nitrile non poudrés noir -...
HX_CADGN18XL,Gants d'examen nitrile non poudrés noir - XL - 9/10 - Boîte de 100,Gants d'examen nitrile non poudrés noir -...
HX_CADGN18S,Gants d'examen nitrile non poudrés noir - S - 6/7 - Boîte de 100,Gants d'examen nitrile non poudrés noir -...
HX_CAGLS,Gants latex poudrés - Taille S - 6/7,Gants latex poudrés - Taille M - 7/8
HX_BIEBMSP02,Sur-Chaussure anti-dérapante non stérile à usage unique,Sur-Chaussure anti-dérapante non stérile à...
HX_BIEBMGN01B,Gants nitrile non poudrés - S - 6/7 - Boîte de 100,Gants nitrile non poudrés - S - 6/7 -...
HX_COL334871,Pansement Biatain Adhésive Talon 23 x 23 cm.,Sonde urinaire SpeediCath Compact Set Homme
HX_DUPSA2335000,Siège de bain pivotant accoudoirs relevables Edora,Siège de bain pivotant accoudoirs...
HX_DUM302150,Masque réanimateur de poche avec étui plastique,Masque réanimateur de poche avec étui...
HX_CELPX160010,Piles alcalines 6LR61 - 9V - Procell Intense Boîte de 10,Piles alcalines 6LR61 - 9V - Procell...
HX_CELLR040002,"Piles LR44 - BP2 1,5 V Duracell - Blister de 2","Piles LR44 - BP2 1,5 V Duracell - Blister..."
HX_CELPC130012,Piles alcalines LR20 D - 1.5 V Duracell - Procell constant - Boîte 10,Piles alcalines LR20 D - 1.5 V Duracell -...
HX_CELPC140012,Piles alcalines LR14 - 1.5 V Duracell - Procell constant - Boîte 10,Piles alcalines LR14 - 1.5 V Duracell -...
HX_CELPC150012,Piles alcalines LR6 AA - 1.5 V Duracell - Procell constant - Boîte 10,Piles alcalines LR6 AA - 1.5 V Duracell -...
HX_CELPC240012,Piles alcalines LR03 AAA - 1.5 V Duracell - Procell constant - Boîte 10,Piles alcalines LR03 AAA - 1.5 V Duracell...
HX_EMI712305,Chevalet A3 culotte incontinence Femme,Chaussure Post-Op Donjoy Podalux II - S -
HX_EMI712303,Chevalet A3 boxer incontinence Homme,Pansement gras stérile Jelonet  5 x 5 cm
HX_EMI712304,Chevalet A3 culotte règle Fille et Femme,Boite de 100 abaisse-langue
HX_EMIA712122,Présentoir Culotte règle Fille et Femme,Horloge calendrier à LED rouge
HX_EMIA712257,Présentoir Boxer incontinence Homme,Huile de Massage et de soin
HX_EMIA712117,Bout de broche Boxer incontinence Homme,Savon doux Aniosafe - 250 ml
HX_EMIA712237,Bout de broche Culotte incontinence Femme,Grenouillère Manches Longues en Interlock...
HX_EMIA712113,Bout de broche Culotte règle Fille et Femme,TENA ProSkin Slip Super - Taille XL
HX_EPI0532G,Orthèse corrective Hallux Valgus - Pied gauche T.M,Orthèse corrective Hallux Valgus - Pied...
HX_EPI0531G,Orthèse corrective Hallux Valgus - Pied gauche T.S,Orthèse corrective Hallux Valgus - Pied...
HX_EPI0532D,Orthèse corrective Hallux Valgus - Pied droit T.M,Orthèse corrective Hallux Valgus - Pied...
HX_EPI0533D,Orthèse corrective Hallux Valgus - Pied droit T.L,Orthèse corrective Hallux Valgus - Pied...
HX_EPI0533G,Orthèse corrective Hallux Valgus - Pied gauche T.L,Orthèse corrective Hallux Valgus - Pied...
HX_EPI0531D,Orthèse corrective Hallux Valgus - Pied droit T.S,Orthèse corrective Hallux Valgus - Pied...
HX_HAR901107,Pansement hydrocellulaire Cosmopor® Silicone 10 x 8cm,Pansement hydrocellulaire Cosmopor®...
HX_HAR901106,"Pansement hydrocellulaire Cosmopor® Silicone 7,2 x 5 cm",Pansement hydrocellulaire Cosmopor®...
HX_HAR995022,Crème à l'oxyde de zinc MoliCare SKIN  200 ml,Crème à l'oxyde de zinc MoliCare SKIN  200...
HX_HAR928648,"Bande adhésive élastique Extensa®+ 8 cm x 2,5 m",Bande adhésive élastique Extensa®+ 8 cm x...
HX_HAR928647,"Bande adhésive élastique Extensa®+ 6 cm x 2,5 m",Bande adhésive élastique Extensa®+ 6 cm x...
HX_HAR928646,"Bande adhésive élastique Extensa®+ 3 cm x 2,5 m",Bande adhésive élastique Extensa®+ 3 cm x...
HX_HAR901109,Pansement hydrocellulaire Cosmopor® Silicone 20 x 10 cm,Pansement hydrocellulaire Cosmopor®...
HX_HAR901108,Pansement hydrocellulaire Cosmopor® Silicone 15 x 8cm,Pansement hydrocellulaire Cosmopor®...
HX_HEIB00011241,Spéculums usage unique UniSpec gris 4mm adulte - Carton de 1000,Spéculums usage unique UniSpec gris 4mm...
HX_HEIK00034273,Adaptateur smartphone universel pour dermatoscope,Adaptateur smartphone universel pour...
HX_HEIJ00827014,Lampe d'examen EL 3 LED avec pied roulettes métal,Lampe d'examen EL 3 LED avec pied...
HX_HEIX02888132,"Ampoule LED HQ HEINE pour otoscope BETA et VET 2,5V",Ampoule LED HQ HEINE pour otoscope BETA et...
HX_HEIX00188034,"AMPOULE XHL XENON HALO.2,5V #34","AMPOULE XHL XENON HALO.2,5V"
HX_HEID00871105,Tête ophtalmoscope mini 3000 à LED,Ophtalmoscope mini 3000 - LED - Noir
HX_HEIB00011209,Spéculums baïonnette réutilisables - Jeu de 5 spéculums auriculaires + 1 spéculum nasal,Spéculums baïonnette réutilisables - Jeu...
HX_HEI00099303,Cable USB avec E4-USB bloc d’alimentation enfichable,Cable USB avec E4-USB bloc d’alimentation...
HX_HEID00870210N,"Otoscope Mini 3000 LED 2,5V Noir + 10 Spéculums Heine","Otoscope Mini 3000 LED 2,5V Noir + 10..."
HX_HEID00870210B,"Otoscope Mini 3000 LED 2,5V Bleu + 10 Spéculums Heine","Otoscope Mini 3000 LED 2,5V Bleu + 10..."
HX_HEID00870220B,Mini 3000 Conventionnel - Blister - Coloris Bleu,Mini 3000 Conventionnel - Blister -...
HX_HEIX00188107,"Ampoule XHL XENON halo.2,5V pour lampe mini 3000","Ampoule XHL XENON halo.2,5V pour lampe..."
HX_HEIX00199485,CHARGEUR MINI NT ensemble avec 2 poignées mini 3000,CHARGEUR MINI NT ensemble avec 2 poignées...
HX_HEIX00188056,"Ampoule 56 2,5V pour Otoscope Mini2000 et Minilux","Ampoule 56 2,5V pour Otoscope Mini2000 et..."
HX_HEIX00188042,"Ampoule 42 2,5V pour ophtalmoscope et lampes ophtalmologiques","Ampoule 42 2,5V pour ophtalmoscope et..."
HX_HEIX00188037,"Ampoule 37 2,5V pour Otoscopes et Porte-abaisse-langues","Ampoule 37 2,5V pour Otoscopes et..."
HX_HEIF00022761,Lot de 25 lames de laryngoscope à usage unique XP Mac 1,Lot de 25 lames de laryngoscope à usage...
HX_HEIK25400000,Mallette rigide pour dermatoscope Delta 20 plus,Mallette rigide pour dermatoscope Delta 20...
HX_HEIF00022772,Lot de 25 lames laryngoscope à usage unique XP Miller 1,Lot de 25 lames laryngoscope à usage...
HX_HEIF00022771,Lot de 25 lames de laryngoscope à usage unique XP Miller 0,Lot de 25 lames de laryngoscope à usage...
HX_HEIF00022764,Lot de 25 lames de laryngoscope à usage unique XP Mac 4,Lot de 25 lames de laryngoscope à usage...
HX_HEIF00022763,Lot de 25 lames de laryngoscope à usage unique XP Mac 3,Lot de 25 lames de laryngoscope à usage...
HX_HEIF00022762,Lot de 25 lames de laryngoscope à usage unique XP Mac 2,Lot de 25 lames de laryngoscope à usage...
HX_HEID00870106N,Tête mini 3000 FO LED HQ NOIR Sans poignée et sa,Tête mini 3000 FO LED HQ NOIR Sans poignée...
HX_HEID00871120N,Ophtalmoscope LED mini 3000  avec piles - Noir,Ophtalmoscope LED mini 3000  avec piles -...
